What does OOP stand for?,Object Overlooked Processor,Object Oriented Programming,Offset Object Project,Origin Overheat Processor,1
How many colors are in the rainbow?,7,8,9,10,0
What is the smallest planet in the solar system?,Earth,Mercury,Venus,Mars,1
What is the study of fossils called?,Geology,Paleontology,Meteorology,Anthropology,1
What is the largest mammal in the world?,Elephant,BlueWhale,Hippopotamus,Giraffe,1
What is the chemical symbol for iron?,Fe,Au,Ag,Cu,0
What is the process by which plants make their own food?,Respiration,Transpiration,Photosynthesis,Fermentation,2
What is the name for the type of software that can replicate itself and spread to other devices?,Trojan horse,Malware,Virus,Spyware,1
What is the formula for water?,H2O2,H3O+,H2O,HOH,2
What is the smallest unit of matter?,Proton,Electron,Neutron,Atom,3
What is the name for the process by which cells divide to create new cells?,Mitosis,Meiosis,Photosynthesis,Respiration,0
What part of the brain is responsible for controlling movement and balance?,Cerebellum,Cerebrum,Medulla oblongata,Hypothalamus,0
What is the name for the technology that uses infrared light to transmit data between devices?,Wi-Fi,Bluetooth,Infrared,NFC,2
What is the largest organ in the human body?,Brain,Liver,Skin,Heart,2
What is the name for the programming language used to create web pages?,HTML,Python,Java,C,0
What is the process by which water vapor changes directly into ice?,Sublimation,Evaporation,Condesation,Melting,0
What is the name for the type of energy associated with the motion of objects?,Thermal energy,Kinetic energy,Potential energy,Electrical Energy,1
What is the name for the unit of measurement used to express the amount of energy in food?,Calorie,Joule,Watt,Ampere,0
Which of the following is an example of an input device?,Printer,Monitor,Keyboard,Speakers,2
Which of following is an example of an operating system?,Microsoft Office,Adobe Photoshop,Google Chrome,Windows,3